id_registro,id_objeto,fuente,institucion,url,imagen_url,imagen_url_miniatura,imagen_local,titulo_original,titulo_es_sugerido,descripcion_oficial,cultura,periodo,fecha_objeto,procedencia,tipo_objeto,tipo_superficie,corpus_analisis,motivo_superficie,material,material_normalizado,tecnica,colores,color_dominante,contraste,densidad_visual,motivos,familia_iconografica,simetria,composicion,descripcion,licencia,estado_metadata,estado_anotacion,observaciones,decision_filtro,puntaje_filtro,motivo_filtrado,fecha_descarga,fecha_anotacion,posible_duplicado_suave
MET-315700,315700,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/315700,https://images.metmuseum.org/CRDImages/ao/original/DP-26541-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-26541-001.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_315700.jpg,Embroidered bag with fringe,Bolsa textil,Título oficial: Embroidered bag with fringe. Cultura registrada: Nasca. Fecha del objeto: 7th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: W. 6 in. × D. 14 1/4 in. (15.2 × 36.2 cm).,Nasca,,7th century,Peru,bolso_textil,superficie_amplia,corpus_principal_superficie_amplia,superficie amplia o composición visual útil detectada: ['bag'],Camelid hair,fibra de camélido,bordado; tejido,,,,,,,,,Título oficial: Embroidered bag with fringe. Cultura registrada: Nasca. Fecha del objeto: 7th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: W. 6 in. × D. 14 1/4 in. (15.2 × 36.2 cm).,Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,17,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['bag'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['embroidered', 'bag'] | evidencia cultural/geográfica andina: ['peru', 'nasca']",2026-06-15,,True
MET-316892,316892,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/316892,https://images.metmuseum.org/CRDImages/ao/original/DT3832rev.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DT3832rev.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_316892.jpg,Woman's Mantle (lliclla),Manto textil,Título oficial: Woman's Mantle (lliclla). Cultura registrada: Peruvian. Fecha del objeto: 17th–18th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 35 1/2 x W. 43 3/8 in. (90.2 x 110.2 cm).,Peruvian,,17th–18th century,Peru,manto,superficie_amplia,corpus_principal_superficie_amplia,superficie amplia o composición visual útil detectada: ['mantle'],Camelid hair,fibra de camélido,tejido,,,,,,,,,Título oficial: Woman's Mantle (lliclla). Cultura registrada: Peruvian. Fecha del objeto: 17th–18th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 35 1/2 x W. 43 3/8 in. (90.2 x 110.2 cm).,Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,17,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['mantle'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['mantle'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",2026-06-15,,False
MET-315786,315786,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/315786,https://images.metmuseum.org/CRDImages/ao/original/DT1269.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DT1269.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_315786.jpg,Shirt,Objeto textil,"Título oficial: Shirt. Cultura registrada: Moche. Fecha del objeto: 500–850 CE. Material registrado: Camelid hair, cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 34 1/4 x W. 58 in. (87 x 147.3 cm).",Moche,,500–850 CE,Peru; Huarmey Valley(?),tunica,superficie_amplia,corpus_principal_superficie_amplia,superficie amplia o composición visual útil detectada: ['shirt'],"Camelid hair, cotton",algodón; fibra de camélido,tejido,,,,,,,,,"Título oficial: Shirt. Cultura registrada: Moche. Fecha del objeto: 500–850 CE. Material registrado: Camelid hair, cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 34 1/4 x W. 58 in. (87 x 147.3 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,17,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['shirt'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['shirt'] | evidencia cultural/geográfica andina: ['peru', 'moche']",2026-06-15,,False
MET-307836,307836,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/307836,https://images.metmuseum.org/CRDImages/ao/original/DP101287.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP101287.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_307836.jpg,Bag,Bolsa textil,"Título oficial: Bag. Cultura registrada: Peruvian. Fecha del objeto: 19th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: Overall: 4 1/2 x 10 5/8 in. (11.43 x 26.99 cm)
Other: 4 1/2 in. (11.43 cm).",Peruvian,,19th century,Peru,bolso_textil,superficie_amplia,corpus_principal_superficie_amplia,superficie amplia o composición visual útil detectada: ['bag'],Camelid hair,fibra de camélido,tejido,,,,,,,,,"Título oficial: Bag. Cultura registrada: Peruvian. Fecha del objeto: 19th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: Overall: 4 1/2 x 10 5/8 in. (11.43 x 26.99 cm)
Other: 4 1/2 in. (11.43 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,17,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['bag'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['bag'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",2026-06-15,,True
MET-307842,307842,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/307842,https://images.metmuseum.org/CRDImages/ao/original/DP18689.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP18689.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_307842.jpg,Bag,Bolsa textil,"Título oficial: Bag. Cultura registrada: Peruvian. Fecha del objeto: 10th–15th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: Overall: 4 1/8 x 10 1/8 in. (10.46 x 25.72 cm)
Other: 4 1/8 in. (10.46 cm).",Peruvian,,10th–15th century,Peru,bolso_textil,superficie_amplia,corpus_principal_superficie_amplia,superficie amplia o composición visual útil detectada: ['bag'],Camelid hair,fibra de camélido,tejido,,,,,,,,,"Título oficial: Bag. Cultura registrada: Peruvian. Fecha del objeto: 10th–15th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: Overall: 4 1/8 x 10 1/8 in. (10.46 x 25.72 cm)
Other: 4 1/8 in. (10.46 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,17,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['bag'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['bag'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",2026-06-15,,True
MET-320804,320804,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/320804,https://images.metmuseum.org/CRDImages/ao/original/TR.489.2010_a.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/TR.489.2010_a.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_320804.jpg,Hanging (?) Fragment,Fragmento textil,"Título oficial: Hanging (?) Fragment. Cultura registrada: Peruvian. Fecha del objeto: late 16th–17th century. Material registrado: Camelid hair, cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 48 x W. 23 in. (121.9 x 58.4 cm).",Peruvian,,late 16th–17th century,Peru,tapiz_textil,superficie_amplia,corpus_principal_superficie_amplia,"superficie amplia o composición visual útil detectada: ['hanging', 'tapestry']","Camelid hair, cotton",algodón; fibra de camélido,tejido,,,,,,,,,"Título oficial: Hanging (?) Fragment. Cultura registrada: Peruvian. Fecha del objeto: late 16th–17th century. Material registrado: Camelid hair, cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 48 x W. 23 in. (121.9 x 58.4 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,15,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tapestry'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['fragment'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",2026-06-15,,False
MET-316906,316906,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/316906,https://images.metmuseum.org/CRDImages/ao/original/1994.35.81.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/1994.35.81.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_316906.jpg,Tunic Fragment,Túnica textil,"Título oficial: Tunic Fragment. Cultura registrada: Peruvian. Fecha del objeto: 7th–10th century. Material registrado: Cotton, camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: Height 45-1/2 in..",Peruvian,,7th–10th century,Peru,tunica,superficie_amplia,corpus_principal_superficie_amplia,superficie amplia o composición visual útil detectada: ['tunic'],"Cotton, camelid hair",algodón; fibra de camélido,tejido,,,,,,,,,"Título oficial: Tunic Fragment. Cultura registrada: Peruvian. Fecha del objeto: 7th–10th century. Material registrado: Cotton, camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: Height 45-1/2 in..",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,18,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['tunic'] | título contiene términos débiles asociados a fragmentos o paneles: ['fragment'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",2026-06-15,,False
MET-308120,308120,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/308120,https://images.metmuseum.org/CRDImages/ao/original/DP-26536-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-26536-001.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_308120.jpg,Tunic,Túnica textil,"Título oficial: Tunic. Cultura registrada: Inca. Fecha del objeto: 1460–1540. Material registrado: Camelid hair, cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: W. 29 3/4 in. × H. 37 in. (75.6 × 94 cm).",Inca,,1460–1540,Peru,tunica,superficie_amplia,corpus_principal_superficie_amplia,superficie amplia o composición visual útil detectada: ['tunic'],"Camelid hair, cotton",algodón; fibra de camélido,tejido,,,,,,,,,"Título oficial: Tunic. Cultura registrada: Inca. Fecha del objeto: 1460–1540. Material registrado: Camelid hair, cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: W. 29 3/4 in. × H. 37 in. (75.6 × 94 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,17,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'inca']",2026-06-15,,False
MET-307449,307449,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/307449,https://images.metmuseum.org/CRDImages/ao/original/50407.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/50407.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_307449.jpg,Bag,Bolsa textil,Título oficial: Bag. Cultura registrada: Inca. Fecha del objeto: 15th–16th century. Material registrado: Cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 25 in. × W. 23 1/2 in. (63.5 × 59.7 cm).,Inca,,15th–16th century,Peru,bolso_textil,superficie_amplia,corpus_principal_superficie_amplia,superficie amplia o composición visual útil detectada: ['bag'],Cotton,algodón,tejido,,,,,,,,,Título oficial: Bag. Cultura registrada: Inca. Fecha del objeto: 15th–16th century. Material registrado: Cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 25 in. × W. 23 1/2 in. (63.5 × 59.7 cm).,Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,17,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['bag'] | material contiene fibras o soporte textil: ['cotton'] | título contiene términos textiles: ['bag'] | evidencia cultural/geográfica andina: ['peru', 'inca']",2026-06-15,,False
MET-319524,319524,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/319524,https://images.metmuseum.org/CRDImages/ao/original/2004.406_detail.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/2004.406_detail.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_319524.jpg,Fragmentary Woman's Dress,Fragmento textil,Título oficial: Fragmentary Woman's Dress. Cultura registrada: Inca. Fecha del objeto: 15th–early 16th century. Material registrado: Camelid fiber. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 47 1/2  x  W. 33 in. (120.7 x 83.8 cm).,Inca,,15th–early 16th century,Peru,vestimenta_textil,superficie_amplia,corpus_principal_superficie_amplia,superficie amplia o composición visual útil detectada: ['dress'],Camelid fiber,fibra de camélido; fibra textil,tejido,,,,,,,,,Título oficial: Fragmentary Woman's Dress. Cultura registrada: Inca. Fecha del objeto: 15th–early 16th century. Material registrado: Camelid fiber. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 47 1/2  x  W. 33 in. (120.7 x 83.8 cm).,Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,11,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid', 'fiber'] | título contiene términos débiles asociados a fragmentos o paneles: ['fragment'] | evidencia cultural/geográfica andina: ['peru', 'inca']",2026-06-15,,False
MET-308083,308083,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/308083,https://images.metmuseum.org/CRDImages/ao/original/DP101353.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP101353.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_308083.jpg,Tapestry Fragment,Fragmento textil,"Título oficial: Tapestry Fragment. Cultura registrada: Inca (?). Fecha del objeto: 15th–16th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: Overall: 11 1/2 x 15 1/4 in. (29.21 x 38.74 cm)
Other: 11 1/2 in. (29.21 cm).",Inca (?),,15th–16th century,Peru,tapiz_textil,superficie_amplia,corpus_principal_superficie_amplia,superficie amplia o composición visual útil detectada: ['tapestry'],Camelid hair,fibra de camélido,tapiz; tejido,,,,,,,,,"Título oficial: Tapestry Fragment. Cultura registrada: Inca (?). Fecha del objeto: 15th–16th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: Overall: 11 1/2 x 15 1/4 in. (29.21 x 38.74 cm)
Other: 11 1/2 in. (29.21 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,18,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['textile'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['tapestry'] | título contiene términos débiles asociados a fragmentos o paneles: ['fragment'] | evidencia cultural/geográfica andina: ['peru', 'inca']",2026-06-15,,False
MET-307846,307846,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/307846,https://images.metmuseum.org/CRDImages/ao/original/88392.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/88392.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_307846.jpg,Panel with Birds,Panel textil,"Título oficial: Panel with Birds. Cultura registrada: Inca. Fecha del objeto: 15th–16th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: Overall: 16 1/2 x 37 in. (41.91 x 93.98 cm)
Other: 16 1/2 in. (41.91 cm).",Inca,,15th–16th century,Peru,panel_textil,superficie_amplia,corpus_principal_superficie_amplia,superficie amplia o composición visual útil detectada: ['panel'],Camelid hair,fibra de camélido,tejido,,,,,,,,,"Título oficial: Panel with Birds. Cultura registrada: Inca. Fecha del objeto: 15th–16th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: Overall: 16 1/2 x 37 in. (41.91 x 93.98 cm)
Other: 16 1/2 in. (41.91 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,11,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'inca']",2026-06-15,,False
MET-319574,319574,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/319574,https://images.metmuseum.org/CRDImages/ao/original/DP120795.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP120795.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_319574.jpg,Tunic,Túnica textil,Título oficial: Tunic. Cultura registrada: Inca. Fecha del objeto: 1400–1530. Material registrado: Camelid fiber. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 33 x  W. 30 in. (83.8 x 76.2 cm).,Inca,,1400–1530,Peru,tunica,superficie_amplia,corpus_principal_superficie_amplia,superficie amplia o composición visual útil detectada: ['tunic'],Camelid fiber,fibra de camélido; fibra textil,tejido,,,,,,,,,Título oficial: Tunic. Cultura registrada: Inca. Fecha del objeto: 1400–1530. Material registrado: Camelid fiber. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 33 x  W. 30 in. (83.8 x 76.2 cm).,Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,17,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['camelid', 'fiber'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'inca']",2026-06-15,,True
MET-313152,313152,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/313152,https://images.metmuseum.org/CRDImages/ao/original/DP244273.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP244273.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_313152.jpg,Tunic,Túnica textil,Título oficial: Tunic. Cultura registrada: Inca. Fecha del objeto: 1450–1550. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 22 x W. 34 in. (55.9 x 86.4 cm).,Inca,,1450–1550,Peru,tunica,superficie_amplia,corpus_principal_superficie_amplia,superficie amplia o composición visual útil detectada: ['tunic'],Camelid hair,fibra de camélido,tejido,,,,,,,,,Título oficial: Tunic. Cultura registrada: Inca. Fecha del objeto: 1450–1550. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 22 x W. 34 in. (55.9 x 86.4 cm).,Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,17,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'inca']",2026-06-15,,False
MET-307941,307941,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/307941,"https://images.metmuseum.org/CRDImages/ao/original/DP18687_28.171.4,1.jpg","https://images.metmuseum.org/CRDImages/ao/web-large/DP18687_28.171.4,1.jpg",outputs/samples/met_textiles_pilot_clean/met_textil_307941.jpg,Bag Tassel,Bolsa textil,"Título oficial: Bag Tassel. Cultura registrada: Inca. Fecha del objeto: 15th–16th century. Material registrado: Camelid hair, cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: Overall: 8 x 15 3/4 in. (20.32 x 40.01 cm)
Other: 8 in. (20.32 cm).",Inca,,15th–16th century,Peru,bolso_textil,superficie_amplia,corpus_principal_superficie_amplia,superficie amplia o composición visual útil detectada: ['bag'],"Camelid hair, cotton",algodón; fibra de camélido,tejido,,,,,,,,,"Título oficial: Bag Tassel. Cultura registrada: Inca. Fecha del objeto: 15th–16th century. Material registrado: Camelid hair, cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: Overall: 8 x 15 3/4 in. (20.32 x 40.01 cm)
Other: 8 in. (20.32 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,17,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['bag'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['bag'] | evidencia cultural/geográfica andina: ['peru', 'inca']",2026-06-15,,False
MET-308079,308079,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/308079,https://images.metmuseum.org/CRDImages/ao/original/DP18702_33.149.44.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP18702_33.149.44.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_308079.jpg,Tapestry Panel with Stars,Panel textil,"Título oficial: Tapestry Panel with Stars. Cultura registrada: Inca. Fecha del objeto: 15th–16th century. Material registrado: Camelid hair, cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: Overall: 6 3/4 x 9 3/4 in. (17.15 x 24.77 cm)
Other: 6 3/4 in. (17.15 cm).",Inca,,15th–16th century,Peru,panel_textil,superficie_amplia,corpus_principal_superficie_amplia,"superficie amplia o composición visual útil detectada: ['panel', 'tapestry']","Camelid hair, cotton",algodón; fibra de camélido,tapiz; tejido,,,,,,,,,"Título oficial: Tapestry Panel with Stars. Cultura registrada: Inca. Fecha del objeto: 15th–16th century. Material registrado: Camelid hair, cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: Overall: 6 3/4 x 9 3/4 in. (17.15 x 24.77 cm)
Other: 6 3/4 in. (17.15 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,14,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['tapestry'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'inca']",2026-06-15,,False
MET-316939,316939,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/316939,https://images.metmuseum.org/CRDImages/ao/original/DP-13440-003.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-13440-003.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_316939.jpg,Miniature Tunic,Túnica textil,"Título oficial: Miniature Tunic. Cultura registrada: Inca. Fecha del objeto: 14th–early 16th century. Material registrado: Cotton, camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: Height 4-1/2 in..",Inca,,14th–early 16th century,Peru,tunica,superficie_amplia,corpus_principal_superficie_amplia,superficie amplia o composición visual útil detectada: ['tunic'],"Cotton, camelid hair",algodón; fibra de camélido,tejido,,,,,,,,,"Título oficial: Miniature Tunic. Cultura registrada: Inca. Fecha del objeto: 14th–early 16th century. Material registrado: Cotton, camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: Height 4-1/2 in..",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,17,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'inca']",2026-06-15,,False
MET-315690,315690,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/315690,https://images.metmuseum.org/CRDImages/ao/original/DP18706_1987.394.642.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP18706_1987.394.642.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_315690.jpg,Bag,Bolsa textil,"Título oficial: Bag. Cultura registrada: Inca. Fecha del objeto: 15th–16th century. Material registrado: Camelid hair, cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: W. 8-1/4 in..",Inca,,15th–16th century,Peru,bolso_textil,superficie_amplia,corpus_principal_superficie_amplia,superficie amplia o composición visual útil detectada: ['bag'],"Camelid hair, cotton",algodón; fibra de camélido,tejido,,,,,,,,,"Título oficial: Bag. Cultura registrada: Inca. Fecha del objeto: 15th–16th century. Material registrado: Camelid hair, cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: W. 8-1/4 in..",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,17,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['bag'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['bag'] | evidencia cultural/geográfica andina: ['peru', 'inca']",2026-06-15,,False
