id_registro,id_objeto,fuente,institucion,url,imagen_url,imagen_url_miniatura,imagen_local,titulo_original,titulo_es_sugerido,descripcion_oficial,cultura,periodo,fecha_objeto,procedencia,tipo_objeto,tipo_superficie,corpus_analisis,motivo_superficie,material,material_normalizado,tecnica,colores,color_dominante,contraste,densidad_visual,motivos,familia_iconografica,simetria,composicion,descripcion,licencia,estado_metadata,estado_anotacion,observaciones,decision_filtro,puntaje_filtro,motivo_filtrado,fecha_descarga,fecha_anotacion
MET-675980,675980,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/675980,https://images.metmuseum.org/CRDImages/ao/original/DP-21885-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-21885-001.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_675980.jpg,Tunic,Túnica textil,"Título oficial: Tunic. Cultura registrada: Wari. Fecha del objeto: 650–1000 CE. Material registrado: Cotton, camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: L. 40 3/4 x W. 39 3/4 in. (103.5 x 101 cm) approximately.",Wari,,650–1000 CE,Andean region,tunica,superficie_amplia,corpus_principal_superficie_amplia,superficie amplia o plana detectada: ['tunic'],"Cotton, camelid hair",algodón; fibra de camélido,tejido,,,,,,,,,"Título oficial: Tunic. Cultura registrada: Wari. Fecha del objeto: 650–1000 CE. Material registrado: Cotton, camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: L. 40 3/4 x W. 39 3/4 in. (103.5 x 101 cm) approximately.",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,17,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['andean', 'wari']",2026-06-15,
MET-320054,320054,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/320054,https://images.metmuseum.org/CRDImages/ao/original/DP107700.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP107700.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_320054.jpg,Miniature tabard,Objeto textil,"Título oficial: Miniature tabard. Cultura registrada: Inca and Spanish. Fecha del objeto: 1600–1700. Material registrado: Cotton, camelid hair, silk, metal. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 14 1/2 x W. 11 in. (36.8 x 27.9 cm).",Inca and Spanish,,1600–1700,Bolivia or Peru,tunica,superficie_amplia,corpus_principal_superficie_amplia,superficie amplia o plana detectada: ['tunic'],"Cotton, camelid hair, silk, metal",algodón; fibra de camélido,tejido,,,,,,,,,"Título oficial: Miniature tabard. Cultura registrada: Inca and Spanish. Fecha del objeto: 1600–1700. Material registrado: Cotton, camelid hair, silk, metal. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 14 1/2 x W. 11 in. (36.8 x 27.9 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,10,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | evidencia cultural/geográfica andina: ['peru', 'inca'] | material sugiere objeto no textil: ['metal']",2026-06-15,
MET-313153,313153,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/313153,https://images.metmuseum.org/CRDImages/ao/original/DP-39316-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-39316-001.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_313153.jpg,Tunic with Felines,Túnica textil,"Título oficial: Tunic with Felines. Cultura registrada: Chimú. Fecha del objeto: 1450–1550. Material registrado: Cotton, camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 25 x  W. 70  in. (63.5 x 177.8 cm).",Chimú,,1450–1550,Peru,tunica,superficie_amplia,corpus_principal_superficie_amplia,superficie amplia o plana detectada: ['tunic'],"Cotton, camelid hair",algodón; fibra de camélido,tejido,,,,,,,,,"Título oficial: Tunic with Felines. Cultura registrada: Chimú. Fecha del objeto: 1450–1550. Material registrado: Cotton, camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 25 x  W. 70  in. (63.5 x 177.8 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,17,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'chimú', 'chimu']",2026-06-15,
MET-307991,307991,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/307991,https://images.metmuseum.org/CRDImages/ao/original/77991.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/77991.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_307991.jpg,Tunic fragment,Túnica textil,"Título oficial: Tunic fragment. Cultura registrada: Wari. Fecha del objeto: 650–1000 CE. Material registrado: Camelid hair, cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: Overall: 20 7/8 x 27 1/4 in. (53.01 x 69.22 cm)
Other: 20 7/8 in. (53.01 cm).",Wari,,650–1000 CE,Peru,tunica,superficie_amplia,corpus_principal_superficie_amplia,"superficie amplia o plana detectada: ['tunic', 'fragment']","Camelid hair, cotton",algodón; fibra de camélido,tejido,,,,,,,,,"Título oficial: Tunic fragment. Cultura registrada: Wari. Fecha del objeto: 650–1000 CE. Material registrado: Camelid hair, cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: Overall: 20 7/8 x 27 1/4 in. (53.01 x 69.22 cm)
Other: 20 7/8 in. (53.01 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,18,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['tunic'] | título contiene términos débiles asociados a fragmentos o paneles: ['fragment'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2026-06-15,
MET-312615,312615,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/312615,https://images.metmuseum.org/CRDImages/ao/original/TP412.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/TP412.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_312615.jpg,Tunic Fragment,Túnica textil,"Título oficial: Tunic Fragment. Cultura registrada: Wari. Fecha del objeto: 7th–9th century. Material registrado: Camelid hair, cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 12 7/8  x  W. 21in. (32.7 x 53.3cm).",Wari,,7th–9th century,Peru,tunica,superficie_amplia,corpus_principal_superficie_amplia,"superficie amplia o plana detectada: ['tunic', 'fragment']","Camelid hair, cotton",algodón; fibra de camélido,tejido,,,,,,,,,"Título oficial: Tunic Fragment. Cultura registrada: Wari. Fecha del objeto: 7th–9th century. Material registrado: Camelid hair, cotton. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 12 7/8  x  W. 21in. (32.7 x 53.3cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,18,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['tunic'] | título contiene términos débiles asociados a fragmentos o paneles: ['fragment'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2026-06-15,
MET-307975,307975,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/307975,https://images.metmuseum.org/CRDImages/ao/original/DT829.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DT829.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_307975.jpg,Tunic with Confronting Catfish,Túnica textil,"Título oficial: Tunic with Confronting Catfish. Cultura registrada: Nasca-Wari. Fecha del objeto: 800–850 CE. Material registrado: Camelid hair, tapestry-weave. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 21 1/2 × W. 43 1/4 in. (54.6 × 109.9 cm).",Nasca-Wari,,800–850 CE,Peru,tunica,superficie_amplia,corpus_principal_superficie_amplia,"superficie amplia o plana detectada: ['tunic', 'tapestry']","Camelid hair, tapestry-weave",fibra de camélido,tapiz; tejido,,,,,,,,,"Título oficial: Tunic with Confronting Catfish. Cultura registrada: Nasca-Wari. Fecha del objeto: 800–850 CE. Material registrado: Camelid hair, tapestry-weave. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 21 1/2 × W. 43 1/4 in. (54.6 × 109.9 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,17,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'nasca', 'wari']",2026-06-15,
MET-312677,312677,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/312677,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-008.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-15008-008.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_312677.jpg,Feathered panel,Panel textil,"Título oficial: Feathered panel. Cultura registrada: Wari. Fecha del objeto: 650–1000 CE. Material registrado: Feathers, cotton, camelid fiber. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 29 × W. 83 7/8 in. (73.66 × 213.04 cm).",Wari,,650–1000 CE,Peru; South Coast,panel_textil,superficie_amplia,corpus_principal_superficie_amplia,superficie amplia o plana detectada: ['panel'],"Feathers, cotton, camelid fiber",algodón; fibra de camélido; fibra textil; plumas,trabajo con plumas,,,,,,,,,"Título oficial: Feathered panel. Cultura registrada: Wari. Fecha del objeto: 650–1000 CE. Material registrado: Feathers, cotton, camelid fiber. Clasificación museográfica: Textiles-Featherwork. Dimensiones: H. 29 × W. 83 7/8 in. (73.66 × 213.04 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,11,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid', 'fiber'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2026-06-15,
MET-751900,751900,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/751900,https://images.metmuseum.org/CRDImages/ao/original/DP-14285-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-14285-001.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_751900.jpg,Votive checkerboard tunic,Túnica textil,Título oficial: Votive checkerboard tunic. Cultura registrada: Inca. Fecha del objeto: 1460–1626. Material registrado: Camelid fiber. Clasificación museográfica: Textiles-Costumes. Dimensiones: H. 20 5/8 × W. 16 1/2 in. (52.4 × 41.9 cm).,Inca,,1460–1626,"Argentina, Bolivia, Chile, or Peru",tunica,superficie_amplia,corpus_principal_superficie_amplia,superficie amplia o plana detectada: ['tunic'],Camelid fiber,fibra de camélido; fibra textil,,,,,,,,,,Título oficial: Votive checkerboard tunic. Cultura registrada: Inca. Fecha del objeto: 1460–1626. Material registrado: Camelid fiber. Clasificación museográfica: Textiles-Costumes. Dimensiones: H. 20 5/8 × W. 16 1/2 in. (52.4 × 41.9 cm).,Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,17,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['camelid', 'fiber'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'inca']",2026-06-15,
MET-307977,307977,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/307977,https://images.metmuseum.org/CRDImages/ao/original/DP158699.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP158699.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_307977.jpg,Feathered Tunic,Túnica textil,"Título oficial: Feathered Tunic. Cultura registrada: Chimú. Fecha del objeto: 1200 – 1400 CE. Material registrado: Cotton, feathers. Clasificación museográfica: Feathers-Costumes. Dimensiones: W. 30 x H. 35 in. (76.2 x 88.9 cm).",Chimú,,1200 – 1400 CE,Peru,tunica,superficie_amplia,corpus_principal_superficie_amplia,superficie amplia o plana detectada: ['tunic'],"Cotton, feathers",algodón; plumas,trabajo con plumas,,,,,,,,,"Título oficial: Feathered Tunic. Cultura registrada: Chimú. Fecha del objeto: 1200 – 1400 CE. Material registrado: Cotton, feathers. Clasificación museográfica: Feathers-Costumes. Dimensiones: W. 30 x H. 35 in. (76.2 x 88.9 cm).",Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,12,"nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'chimú', 'chimu']",2026-06-15,
MET-751901,751901,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/751901,https://images.metmuseum.org/CRDImages/ao/original/DP-14281-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-14281-001.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_751901.jpg,Tunic,Túnica textil,Título oficial: Tunic. Cultura registrada: Inca. Fecha del objeto: 1400–1535 CE. Material registrado: Camelid fiber. Clasificación museográfica: Textiles-Costumes. Dimensiones: H. 34 1/4 x W. 30 1/8 in. (87 x 76.5 cm).,Inca,,1400–1535 CE,"Argentina, Bolivia, Chile, or Peru",tunica,superficie_amplia,corpus_principal_superficie_amplia,superficie amplia o plana detectada: ['tunic'],Camelid fiber,fibra de camélido; fibra textil,,,,,,,,,,Título oficial: Tunic. Cultura registrada: Inca. Fecha del objeto: 1400–1535 CE. Material registrado: Camelid fiber. Clasificación museográfica: Textiles-Costumes. Dimensiones: H. 34 1/4 x W. 30 1/8 in. (87 x 76.5 cm).,Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,17,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['camelid', 'fiber'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'inca']",2026-06-15,
MET-316962,316962,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/316962,https://images.metmuseum.org/CRDImages/ao/original/DP-29609-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-29609-001.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_316962.jpg,Four-Cornered Hat,Objeto textil,Título oficial: Four-Cornered Hat. Cultura registrada: Wari. Fecha del objeto: 7th–9th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Costumes. Dimensiones: H. 4 1/2 × Circum. 19 7/8 in. (11.4 × 50.5 cm).,Wari,,7th–9th century,Peru,objeto_textil,revision_morfologica,revision_morfologica,no se detectó con claridad si el objeto tiene superficie amplia o formato estrecho,Camelid hair,fibra de camélido,,,,,,,,,,Título oficial: Four-Cornered Hat. Cultura registrada: Wari. Fecha del objeto: 7th–9th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Costumes. Dimensiones: H. 4 1/2 × Circum. 19 7/8 in. (11.4 × 50.5 cm).,Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,10,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2026-06-15,
MET-316983,316983,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/316983,https://images.metmuseum.org/CRDImages/ao/original/DP-29592-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-29592-001.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_316983.jpg,Four-Cornered Hat,Objeto textil,Título oficial: Four-Cornered Hat. Cultura registrada: Tiwanaku. Fecha del objeto: 4th–8th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Costumes. Dimensiones: H. 6 × Circum. 16 in. (15.2 × 40.6 cm).,Tiwanaku,,4th–8th century,Bolivia (?),objeto_textil,revision_morfologica,revision_morfologica,no se detectó con claridad si el objeto tiene superficie amplia o formato estrecho,Camelid hair,fibra de camélido,,,,,,,,,,Título oficial: Four-Cornered Hat. Cultura registrada: Tiwanaku. Fecha del objeto: 4th–8th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Costumes. Dimensiones: H. 6 × Circum. 16 in. (15.2 × 40.6 cm).,Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,10,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | evidencia cultural/geográfica andina: ['tiwanaku']",2026-06-15,
MET-316981,316981,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/316981,https://images.metmuseum.org/CRDImages/ao/original/DP-29590-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-29590-001.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_316981.jpg,Four-Cornered Hat,Objeto textil,Título oficial: Four-Cornered Hat. Cultura registrada: Tiwanaku. Fecha del objeto: 7th–9th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Costumes. Dimensiones: H. 5 × Circum. 17 1/4 in. (12.7 × 43.8 cm).,Tiwanaku,,7th–9th century,Bolivia (?),objeto_textil,revision_morfologica,revision_morfologica,no se detectó con claridad si el objeto tiene superficie amplia o formato estrecho,Camelid hair,fibra de camélido,,,,,,,,,,Título oficial: Four-Cornered Hat. Cultura registrada: Tiwanaku. Fecha del objeto: 7th–9th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Costumes. Dimensiones: H. 5 × Circum. 17 1/4 in. (12.7 × 43.8 cm).,Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,10,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | evidencia cultural/geográfica andina: ['tiwanaku']",2026-06-15,
MET-317736,317736,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/317736,https://images.metmuseum.org/CRDImages/ao/original/DT1275.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DT1275.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_317736.jpg,Woman's Dress,Objeto textil,Título oficial: Woman's Dress. Cultura registrada: Chuquibamba. Fecha del objeto: 14th–early 16th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 51 1/2  x  W. 60 1/2 in. (130.8 x 153.7 cm).,Chuquibamba,,14th–early 16th century,Peru,objeto_textil,revision_morfologica,revision_morfologica,no se detectó con claridad si el objeto tiene superficie amplia o formato estrecho,Camelid hair,fibra de camélido,tejido,,,,,,,,,Título oficial: Woman's Dress. Cultura registrada: Chuquibamba. Fecha del objeto: 14th–early 16th century. Material registrado: Camelid hair. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 51 1/2  x  W. 60 1/2 in. (130.8 x 153.7 cm).,Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,10,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | evidencia cultural/geográfica andina: ['peru']",2026-06-15,
MET-833953,833953,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/833953,https://images.metmuseum.org/CRDImages/ao/original/DP-18736-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-18736-001.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_833953.jpg,Tapestry Tunic,Túnica textil,Título oficial: Tapestry Tunic. Cultura registrada: Wari. Fecha del objeto: 7th–9th century. Material registrado: Camelid wool. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 42 11/16 × W. 42 15/16 in. (108.5 × 109 cm).,Wari,,7th–9th century,Peru,tunica,superficie_amplia,corpus_principal_superficie_amplia,"superficie amplia o plana detectada: ['tunic', 'tapestry']",Camelid wool,fibra de camélido; lana,tapiz; tejido,,,,,,,,,Título oficial: Tapestry Tunic. Cultura registrada: Wari. Fecha del objeto: 7th–9th century. Material registrado: Camelid wool. Clasificación museográfica: Textiles-Woven. Dimensiones: H. 42 11/16 × W. 42 15/16 in. (108.5 × 109 cm).,Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,17,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['wool', 'camelid'] | título contiene términos textiles: ['tapestry', 'tunic'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2026-06-15,
MET-316978,316978,met,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/316978,https://images.metmuseum.org/CRDImages/ao/original/DP-29598-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-29598-001.jpg,outputs/samples/met_textiles_pilot_clean/met_textil_316978.jpg,Four-Cornered Hat,Objeto textil,Título oficial: Four-Cornered Hat. Cultura registrada: Tiwanaku or Wari. Fecha del objeto: 500–900 CE. Material registrado: Camelid fiber. Clasificación museográfica: Textiles-Costumes. Dimensiones: H. 7 in.  × Circum. 22 3/4 in. (17.8 × 57.8 cm).,Tiwanaku or Wari,,500–900 CE,Bolivia or Peru,objeto_textil,revision_morfologica,revision_morfologica,no se detectó con claridad si el objeto tiene superficie amplia o formato estrecho,Camelid fiber,fibra de camélido; fibra textil,,,,,,,,,,Título oficial: Four-Cornered Hat. Cultura registrada: Tiwanaku or Wari. Fecha del objeto: 500–900 CE. Material registrado: Camelid fiber. Clasificación museográfica: Textiles-Costumes. Dimensiones: H. 7 in.  × Circum. 22 3/4 in. (17.8 × 57.8 cm).,Dominio público / Open Access según metadata de The Met,parcial,sin_anotar,,aceptar,10,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid', 'fiber'] | evidencia cultural/geográfica andina: ['peru', 'wari', 'tiwanaku']",2026-06-15,
