id_fuente,corpus_actual,corpus_final,decision_revision,motivo_revision,observaciones_revision,revisor,fecha_revision,titulo_original,titulo_es_sugerido,cultura,fecha_objeto,procedencia,tipo_objeto,tipo_superficie,material,material_normalizado,tecnica,estado_curacion,destino_curacion,motivo_curacion,url_objeto,url_imagen,ruta_imagen_local,licencia,origen_curacion
675980,principal,principal,mantener,,,,,Tunic,Túnica textil,Wari,650–1000 CE,Andean region,tunica,superficie_amplia,"Cotton, camelid hair",algodón; fibra de camélido,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['tunic'],https://www.metmuseum.org/art/collection/search/675980,https://images.metmuseum.org/CRDImages/ao/original/DP-21885-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_675980.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
320054,principal,principal,mantener,,,,,Miniature tabard,Objeto textil,Inca and Spanish,1600–1700,Bolivia or Peru,tunica,superficie_amplia,"Cotton, camelid hair, silk, metal",algodón; fibra de camélido,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['tunic'],https://www.metmuseum.org/art/collection/search/320054,https://images.metmuseum.org/CRDImages/ao/original/DP107700.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_320054.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
313153,principal,principal,mantener,,,,,Tunic with Felines,Túnica textil,Chimú,1450–1550,Peru,tunica,superficie_amplia,"Cotton, camelid hair",algodón; fibra de camélido,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['tunic'],https://www.metmuseum.org/art/collection/search/313153,https://images.metmuseum.org/CRDImages/ao/original/DP-39316-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_313153.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
307991,principal,principal,mantener,,,,,Tunic fragment,Túnica textil,Wari,650–1000 CE,Peru,tunica,superficie_amplia,"Camelid hair, cotton",algodón; fibra de camélido,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['tunic'],https://www.metmuseum.org/art/collection/search/307991,https://images.metmuseum.org/CRDImages/ao/original/77991.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_307991.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
312615,principal,principal,mantener,,,,,Tunic Fragment,Túnica textil,Wari,7th–9th century,Peru,tunica,superficie_amplia,"Camelid hair, cotton",algodón; fibra de camélido,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['tunic'],https://www.metmuseum.org/art/collection/search/312615,https://images.metmuseum.org/CRDImages/ao/original/TP412.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_312615.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
307975,principal,principal,mantener,,,,,Tunic with Confronting Catfish,Túnica textil,Nasca-Wari,800–850 CE,Peru,tunica,superficie_amplia,"Camelid hair, tapestry-weave",fibra de camélido,tapiz; tejido,corpus_principal,principal,"superficie amplia o composición visual útil detectada: ['tunic', 'tapestry']",https://www.metmuseum.org/art/collection/search/307975,https://images.metmuseum.org/CRDImages/ao/original/DT829.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_307975.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
751900,principal,principal,mantener,,,,,Votive checkerboard tunic,Túnica textil,Inca,1460–1626,"Argentina, Bolivia, Chile, or Peru",tunica,superficie_amplia,Camelid fiber,fibra de camélido; fibra textil,,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['tunic'],https://www.metmuseum.org/art/collection/search/751900,https://images.metmuseum.org/CRDImages/ao/original/DP-14285-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_751900.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
317736,principal,principal,mantener,,,,,Woman's Dress,Objeto textil,Chuquibamba,14th–early 16th century,Peru,vestimenta_textil,superficie_amplia,Camelid hair,fibra de camélido,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['dress'],https://www.metmuseum.org/art/collection/search/317736,https://images.metmuseum.org/CRDImages/ao/original/DT1275.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_317736.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
833953,principal,principal,mantener,,,,,Tapestry Tunic,Túnica textil,Wari,7th–9th century,Peru,tunica,superficie_amplia,Camelid wool,fibra de camélido; lana,tapiz; tejido,corpus_principal,principal,"superficie amplia o composición visual útil detectada: ['tunic', 'tapestry']",https://www.metmuseum.org/art/collection/search/833953,https://images.metmuseum.org/CRDImages/ao/original/DP-18736-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_833953.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
316913,principal,principal,mantener,,,,,Chuspa (coca bag),Bolsa textil,Moche,650-850 CE,Peru,bolso_textil,superficie_amplia,"Cotton, camelid hair, and dye",algodón; fibra de camélido,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['bag'],https://www.metmuseum.org/art/collection/search/316913,https://images.metmuseum.org/CRDImages/ao/original/DP-41567-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_316913.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
308024,principal,principal,mantener,,,,,Embroidered bag with fringe,Bolsa textil,Nasca,7th century,Peru,bolso_textil,superficie_amplia,Camelid hair,fibra de camélido,bordado; tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['bag'],https://www.metmuseum.org/art/collection/search/308024,https://images.metmuseum.org/CRDImages/ao/original/DP-26535-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_308024.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
308022,principal,principal,mantener,,,,,Embroidered bag with fringe,Bolsa textil,Nasca,7th century,Peru,bolso_textil,superficie_amplia,Camelid hair,fibra de camélido,bordado; tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['bag'],https://www.metmuseum.org/art/collection/search/308022,https://images.metmuseum.org/CRDImages/ao/original/DP-26534-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_308022.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
315700,principal,principal,mantener,,,,,Embroidered bag with fringe,Bolsa textil,Nasca,7th century,Peru,bolso_textil,superficie_amplia,Camelid hair,fibra de camélido,bordado; tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['bag'],https://www.metmuseum.org/art/collection/search/315700,https://images.metmuseum.org/CRDImages/ao/original/DP-26541-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_315700.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
316892,principal,principal,mantener,,,,,Woman's Mantle (lliclla),Manto textil,Peruvian,17th–18th century,Peru,manto,superficie_amplia,Camelid hair,fibra de camélido,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['mantle'],https://www.metmuseum.org/art/collection/search/316892,https://images.metmuseum.org/CRDImages/ao/original/DT3832rev.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_316892.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
315786,principal,principal,mantener,,,,,Shirt,Objeto textil,Moche,500–850 CE,Peru; Huarmey Valley(?),tunica,superficie_amplia,"Camelid hair, cotton",algodón; fibra de camélido,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['shirt'],https://www.metmuseum.org/art/collection/search/315786,https://images.metmuseum.org/CRDImages/ao/original/DT1269.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_315786.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
307836,principal,principal,mantener,,,,,Bag,Bolsa textil,Peruvian,19th century,Peru,bolso_textil,superficie_amplia,Camelid hair,fibra de camélido,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['bag'],https://www.metmuseum.org/art/collection/search/307836,https://images.metmuseum.org/CRDImages/ao/original/DP101287.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_307836.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
307842,principal,principal,mantener,,,,,Bag,Bolsa textil,Peruvian,10th–15th century,Peru,bolso_textil,superficie_amplia,Camelid hair,fibra de camélido,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['bag'],https://www.metmuseum.org/art/collection/search/307842,https://images.metmuseum.org/CRDImages/ao/original/DP18689.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_307842.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
320804,principal,principal,mantener,,,,,Hanging (?) Fragment,Fragmento textil,Peruvian,late 16th–17th century,Peru,tapiz_textil,superficie_amplia,"Camelid hair, cotton",algodón; fibra de camélido,tejido,corpus_principal,principal,"superficie amplia o composición visual útil detectada: ['hanging', 'tapestry']",https://www.metmuseum.org/art/collection/search/320804,https://images.metmuseum.org/CRDImages/ao/original/TR.489.2010_a.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_320804.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
316906,principal,principal,mantener,,,,,Tunic Fragment,Túnica textil,Peruvian,7th–10th century,Peru,tunica,superficie_amplia,"Cotton, camelid hair",algodón; fibra de camélido,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['tunic'],https://www.metmuseum.org/art/collection/search/316906,https://images.metmuseum.org/CRDImages/ao/original/1994.35.81.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_316906.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
308120,principal,principal,mantener,,,,,Tunic,Túnica textil,Inca,1460–1540,Peru,tunica,superficie_amplia,"Camelid hair, cotton",algodón; fibra de camélido,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['tunic'],https://www.metmuseum.org/art/collection/search/308120,https://images.metmuseum.org/CRDImages/ao/original/DP-26536-001.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_308120.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
307449,principal,principal,mantener,,,,,Bag,Bolsa textil,Inca,15th–16th century,Peru,bolso_textil,superficie_amplia,Cotton,algodón,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['bag'],https://www.metmuseum.org/art/collection/search/307449,https://images.metmuseum.org/CRDImages/ao/original/50407.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_307449.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
319524,principal,principal,mantener,,,,,Fragmentary Woman's Dress,Fragmento textil,Inca,15th–early 16th century,Peru,vestimenta_textil,superficie_amplia,Camelid fiber,fibra de camélido; fibra textil,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['dress'],https://www.metmuseum.org/art/collection/search/319524,https://images.metmuseum.org/CRDImages/ao/original/2004.406_detail.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_319524.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
308083,principal,principal,mantener,,,,,Tapestry Fragment,Fragmento textil,Inca (?),15th–16th century,Peru,tapiz_textil,superficie_amplia,Camelid hair,fibra de camélido,tapiz; tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['tapestry'],https://www.metmuseum.org/art/collection/search/308083,https://images.metmuseum.org/CRDImages/ao/original/DP101353.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_308083.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
307846,principal,principal,mantener,,,,,Panel with Birds,Panel textil,Inca,15th–16th century,Peru,panel_textil,superficie_amplia,Camelid hair,fibra de camélido,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['panel'],https://www.metmuseum.org/art/collection/search/307846,https://images.metmuseum.org/CRDImages/ao/original/88392.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_307846.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
319574,principal,principal,mantener,,,,,Tunic,Túnica textil,Inca,1400–1530,Peru,tunica,superficie_amplia,Camelid fiber,fibra de camélido; fibra textil,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['tunic'],https://www.metmuseum.org/art/collection/search/319574,https://images.metmuseum.org/CRDImages/ao/original/DP120795.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_319574.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
313152,principal,principal,mantener,,,,,Tunic,Túnica textil,Inca,1450–1550,Peru,tunica,superficie_amplia,Camelid hair,fibra de camélido,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['tunic'],https://www.metmuseum.org/art/collection/search/313152,https://images.metmuseum.org/CRDImages/ao/original/DP244273.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_313152.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
307941,principal,principal,mantener,,,,,Bag Tassel,Bolsa textil,Inca,15th–16th century,Peru,bolso_textil,superficie_amplia,"Camelid hair, cotton",algodón; fibra de camélido,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['bag'],https://www.metmuseum.org/art/collection/search/307941,"https://images.metmuseum.org/CRDImages/ao/original/DP18687_28.171.4,1.jpg",outputs/samples/met_textiles_aceptados_preliminar/met_textil_307941.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
308079,principal,principal,mantener,,,,,Tapestry Panel with Stars,Panel textil,Inca,15th–16th century,Peru,panel_textil,superficie_amplia,"Camelid hair, cotton",algodón; fibra de camélido,tapiz; tejido,corpus_principal,principal,"superficie amplia o composición visual útil detectada: ['panel', 'tapestry']",https://www.metmuseum.org/art/collection/search/308079,https://images.metmuseum.org/CRDImages/ao/original/DP18702_33.149.44.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_308079.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
316939,principal,principal,mantener,,,,,Miniature Tunic,Túnica textil,Inca,14th–early 16th century,Peru,tunica,superficie_amplia,"Cotton, camelid hair",algodón; fibra de camélido,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['tunic'],https://www.metmuseum.org/art/collection/search/316939,https://images.metmuseum.org/CRDImages/ao/original/DP-13440-003.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_316939.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
315690,principal,principal,mantener,,,,,Bag,Bolsa textil,Inca,15th–16th century,Peru,bolso_textil,superficie_amplia,"Camelid hair, cotton",algodón; fibra de camélido,tejido,corpus_principal,principal,superficie amplia o composición visual útil detectada: ['bag'],https://www.metmuseum.org/art/collection/search/315690,https://images.metmuseum.org/CRDImages/ao/original/DP18706_1987.394.642.jpg,outputs/samples/met_textiles_aceptados_preliminar/met_textil_315690.jpg,Dominio público / Open Access según metadata de The Met,corpus_principal_preliminar
308078,principal,principal,mantener,,,,,"Border fragment, figures with staves",,Paracas,,,,,Camelid hair,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/308078,https://images.metmuseum.org/CRDImages/ao/original/DP-27315-001.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
316910,principal,principal,mantener,,,,,Sash Fragment,,Peruvian,,,,,Cotton,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/316910,"https://images.metmuseum.org/CRDImages/ao/original/DP18680_1994.35.85,2.jpg",,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
316916,principal,principal,mantener,,,,,Sash Fragments,,Peruvian,,,,,Cotton,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/316916,https://images.metmuseum.org/CRDImages/ao/original/DP18678_1994.35.91.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
316915,principal,principal,mantener,,,,,Sash Fragments,,Peruvian,,,,,Cotton,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/316915,"https://images.metmuseum.org/CRDImages/ao/original/DP18677_1994.35.90A,B.jpg",,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308084,principal,principal,mantener,,,,,Tapestry Border Fragment,,Peruvian,,,,,Camelid hair,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/308084,https://images.metmuseum.org/CRDImages/ao/original/97502.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
316894,principal,principal,mantener,,,,,Sash Fragment with Fringe,,Peruvian,,,,,Camelid hair,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/316894,https://images.metmuseum.org/CRDImages/ao/original/DP18602.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
316945,principal,principal,mantener,,,,,Border Fragment,,Paracas,,,,,"Cotton, camelid hair",,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/316945,https://images.metmuseum.org/CRDImages/ao/original/DP-28474-001.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
314528,principal,principal,mantener,,,,,Tunic with Diamond Band,,Inca,,,,,"Camelid hair, cotton",,,corpus_principal,principal,superficie_textil_util,https://www.metmuseum.org/art/collection/search/314528,https://images.metmuseum.org/CRDImages/ao/original/DP107698.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
315708,principal,principal,mantener,,,,,Band Fragment,,Inca,,,,,"Cotton, camelid hair",,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/315708,https://images.metmuseum.org/CRDImages/ao/original/DP18703.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
313324,principal,principal,mantener,,,,,Sleeveless Tunic,,Inca,,,,,"Cotton, camelid hair",,,corpus_principal,principal,superficie_textil_util,https://www.metmuseum.org/art/collection/search/313324,https://images.metmuseum.org/CRDImages/ao/original/1979.206.1131_a.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308046,principal,principal,mantener,,,,,Embroidered Border Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/308046,https://images.metmuseum.org/CRDImages/ao/original/DP18569.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
310511,principal,principal,mantener,,,,,Mantle Fragment,,Paracas,,,,,"Cotton, pigment",,,corpus_principal,principal,superficie_textil_util,https://www.metmuseum.org/art/collection/search/310511,https://images.metmuseum.org/CRDImages/ao/original/SC207345.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
307853,principal,principal,mantener,,,,,Embroidered Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/307853,https://images.metmuseum.org/CRDImages/ao/original/DP18565.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308056,principal,principal,mantener,,,,,Embroidered Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/308056,https://images.metmuseum.org/CRDImages/ao/original/DP18567.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308106,principal,principal,mantener,,,,,Embroidered Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/308106,https://images.metmuseum.org/CRDImages/ao/original/33.149.1-67-70-76.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308100,principal,principal,mantener,,,,,Embroidered Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/308100,https://images.metmuseum.org/CRDImages/ao/original/DP18575_33.149.70.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
307682,principal,principal,mantener,,,,,Embroidered Border Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/307682,https://images.metmuseum.org/CRDImages/ao/original/DP170923.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308057,principal,principal,mantener,,,,,Embroidered Fragment with Figures,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/308057,https://images.metmuseum.org/CRDImages/ao/original/DP18568.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308113,principal,principal,mantener,,,,,Embroidered Fragment with Figure,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/308113,https://images.metmuseum.org/CRDImages/ao/original/DP18528.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308048,principal,principal,mantener,,,,,Embroidered Fragment with Figures,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/308048,https://images.metmuseum.org/CRDImages/ao/original/DP18558.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
307852,principal,principal,mantener,,,,,Embroidered Mantle Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,superficie_textil_util,https://www.metmuseum.org/art/collection/search/307852,https://images.metmuseum.org/CRDImages/ao/original/DP18481.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308034,principal,principal,mantener,,,,,Embroidered Mantle Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,superficie_textil_util,https://www.metmuseum.org/art/collection/search/308034,https://images.metmuseum.org/CRDImages/ao/original/DP18571.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
307679,principal,principal,mantener,,,,,Embroidered Mantle Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,superficie_textil_util,https://www.metmuseum.org/art/collection/search/307679,https://images.metmuseum.org/CRDImages/ao/original/DP18487.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
